High,Low,Close,Volume
70.16,69.25,69.87,12920000
69.85,69.16,69.77,14620000
70.25,68.97,69.48,33700000
70.68,69.88,70.24,17120000
71.37,70.80,71.01,16980000
71.40,70.45,71.35,9440000
71.83,70.74,70.91,13050000
72.45,70.90,71.67,21730000
70.79,70.09,70.75,15430000
70.56,69.47,70.33,23470000
69.92,69.15,69.47,14450000
70.02,69.43,69.63,12540000
70.35,69.69,70.21,15220000
69.81,68.97,69.74,21820000
69.56,68.78,68.84,40860000
70.00,69.09,69.21,16230000
70.46,69.58,69.62,15440000
71.62,70.24,70.52,15050000
71.88,70.73,71.02,17470000
71.89,71.10,71.73,12810000
71.85,71.25,71.56,12720000
72.17,71.25,71.84,12260000
71.32,70.59,71.26,12280000
70.98,70.44,70.85,9520000
70.95,70.34,70.41,13540000
71.34,70.18,70.87,13570000
71.27,69.98,70.66,20140000
71.53,70.86,71.49,10200000
71.96,71.10,71.59,28020000
71.15,69.96,70.99,10290000
71.39,70.55,70.65,8710000
71.71,71.06,71.27,10670000
71.47,70.19,71.26,12820000
71.48,70.46,70.64,11100000
71.57,71.08,71.34,12090000
71.62,70.93,71.18,12140000
71.66,71.13,71.42,13280000
71.75,70.93,71.49,18440000
71.22,69.11,71.10,19820000
68.85,68.10,68.67,16290000
69.20,68.38,68.47,14390000
69.83,68.22,69.04,21540000
70.65,69.96,70.02,11230000
71.96,70.63,70.67,14370000
72.17,71.16,71.89,15030000
71.39,70.66,71.21,12710000
71.29,70.51,71.19,11930000
71.31,70.59,71.14,12630000
71.53,70.73,70.79,18030000
72.96,71.18,72.04,21070000
72.20,69.78,71.84,16240000
71.75,70.81,71.28,16000000
72.41,70.62,71.40,16320000
72.91,71.79,72.01,16890000
73.43,71.87,72.78,16350000
73.86,72.41,73.38,15610000
72.95,71.31,72.26,16040000
72.91,71.21,72.49,20750000
72.15,70.88,71.17,15280000
72.12,71.22,71.35,14970000
72.15,70.43,71.94,13930000
71.34,70.04,70.93,19990000
70.70,68.49,70.26,22450000
69.97,66.81,69.46,27920000
69.49,67.28,67.94,22770000
68.89,65.58,67.89,34260000
72.50,69.30,69.44,26520000
73.43,71.81,72.66,24960000
71.85,70.55,70.83,14610000
71.40,70.68,71.36,15310000
